Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-09-21,113.85,113.989,112.441,113.55,36003185.0,0.0,1.0,107.63921625973865,107.77063348468467,106.30708050471036,107.35558196129402,36003185.0
2016-09-20,113.05,114.12,112.51,113.57,34514269.0,0.0,1.0,106.88285813055296,107.89448712833882,106.37231639335263,107.37449091452366,34514269.0
2016-09-19,115.19,116.18,113.25,113.58,47023046.0,0.0,1.0,108.90611612612469,109.84210931099199,107.07194766284938,107.38394539113848,47023046.0
2016-09-16,115.12,116.13,114.04,114.92,79886911.0,0.0,1.0,108.83993478982094,109.79483692791787,107.81885131542026,108.65084525752452,79886911.0
2016-09-15,113.86,115.73,113.49,115.57,90613177.0,0.0,1.0,107.64867073635348,109.41665786332503,107.29885510160508,109.26538623748789,90613177.0
2016-09-14,108.73,113.03,108.6,111.77,112340318.0,0.0,1.0,102.79852423295024,106.86394917732332,102.67561603695755,105.67268512385586,112340318.0
2016-09-13,107.51,108.79,107.24,107.95,62176190.0,0.0,1.0,101.64507808594206,102.85525109263916,101.38980721734188,102.06107505699418,62176190.0
2016-09-12,102.65,105.72,102.53,105.44,45292770.0,0.0,1.0,97.05020245113899,99.95272677188908,96.93674873176113,99.68800142667408,45292770.0
2016-09-09,104.64,105.72,103.13,103.13,46556984.0,0.0,1.0,98.93164329748839,99.95272677188908,97.50401732865039,97.50401732865039,46556984.0
2016-09-08,107.25,107.27,105.24,105.52,53002026.0,0.0,1.0,101.3992616939567,101.41817064718634,99.49891189437766,99.76363723959264,53002026.0
2016-09-07,107.83,108.76,107.07,108.36,42364328.0,0.0,1.0,101.94762133761633,102.8268876627947,101.22908111488992,102.44870859820185,42364328.0
2016-09-06,107.9,108.3,107.51,107.7,26880391.0,0.0,1.0,102.01380267392008,102.39198173851292,101.64507808594206,101.82471314162366,26880391.0
2016-09-02,107.7,108.0,106.82,107.73,26802450.0,0.0,1.0,101.82471314162366,102.10834744006829,100.99271919951939,101.85307657146812,26802450.0
2016-09-01,106.14,106.8,105.62,106.73,26701523.0,0.0,1.0,100.34981478971156,100.97381024628974,99.85818200574086,100.907628909986,26701523.0
2016-08-31,105.66,106.5699,105.64,106.1,29662406.0,0.0,1.0,99.89599991220014,100.75626273938272,99.8770909589705,100.31199688325226,29662406.0
2016-08-30,105.8,106.5,105.5,106.0,24863945.0,0.0,1.0,100.02836258480764,100.69017594784512,99.744728286363,100.21745211710406,24863945.0
2016-08-29,106.62,107.44,106.29,106.82,24970300.0,0.0,1.0,100.80362966722298,101.5788967496383,100.49163193893388,100.99271919951939,24970300.0
2016-08-26,107.41,107.95,106.31,106.94,27766291.0,0.0,1.0,101.55053331979384,102.06107505699418,100.51054089216352,101.10617291889724,27766291.0
2016-08-25,107.39,107.88,106.68,107.57,25086248.0,0.0,1.0,101.5316243665642,101.99489372069043,100.8603565269119,101.70180494563097,25086248.0
2016-08-24,108.565,108.75,107.68,108.03,23675081.0,0.0,1.0,102.64252536880568,102.81743318617987,101.80580418839402,102.13671086991275,23675081.0
2016-08-23,108.59,109.32,108.53,108.85,21257669.0,0.0,1.0,102.66616156034274,103.35633835322467,102.60943470065381,102.91197795232809,21257669.0
2016-08-22,108.86,109.1,107.85,108.51,25820230.0,0.0,1.0,102.92143242894291,103.14833986769861,101.96653029084597,102.59052574742417,25820230.0
2016-08-19,108.77,109.69,108.36,109.36,25368072.0,0.0,1.0,102.83634213940951,103.70615398797305,102.44870859820185,103.39415625968397,25368072.0
2016-08-18,109.23,109.6,109.02,109.08,21984703.0,0.0,1.0,103.27124806369129,103.62106369843967,103.07270405478005,103.12943091446897,21984703.0
2016-08-17,109.1,109.37,108.34,109.22,25355976.0,0.0,1.0,103.14833986769861,103.40361073629879,102.4297996449722,103.26179358707647,25355976.0
2016-08-16,109.63,110.23,109.21,109.38,33794448.0,0.0,1.0,103.64942712828413,104.21669572517341,103.25233911046165,103.41306521291361,33794448.0
2016-08-15,108.14,109.54,108.08,109.48,25868209.0,0.0,1.0,102.24071011267579,103.56433683875075,102.18398325298686,103.50760997906183,25868209.0
2016-08-12,107.78,108.44,107.78,108.18,18660434.0,0.0,1.0,101.90034895454222,102.52434441112042,101.90034895454222,102.27852801913508,18660434.0
2016-08-11,108.52,108.93,107.85,107.93,27484506.0,0.0,1.0,102.59998022403899,102.98761376524666,101.96653029084597,102.04216610376454,27484506.0
2016-08-10,108.71,108.9,107.76,108.0,24008505.0,0.0,1.0,102.77961527972059,102.9592503354022,101.88144000131258,102.10834744006829,24008505.0
2016-08-09,108.23,108.94,108.01,108.81,26315204.0,0.0,1.0,102.32580040220918,102.99706824186147,102.11780191668312,102.8741600458688,26315204.0
2016-08-08,107.52,108.37,107.16,108.37,28037220.0,0.0,1.0,101.65453256255687,102.45816307481668,101.3141714044233,102.45816307481668,28037220.0
2016-08-05,106.27,107.65,106.18,107.48,40553402.0,0.0,1.0,100.47272298570422,101.77744075854956,100.38763269617085,101.6167146560976,40553402.0
2016-08-04,105.58,106.0,105.28,105.87,27408650.0,0.57,1.0,99.82036409928158,100.21745211710406,99.53672980083694,100.0945439211114,27408650.0
2016-08-03,104.81,105.84,104.77,105.79,30202641.0,0.0,1.0,98.5617169144277,99.53031312110514,98.52410152776062,99.48329388777128,30202641.0
2016-08-02,106.05,106.07,104.0,104.48,33816556.0,0.0,1.0,99.72779390110732,99.74660159444086,97.80000533441925,98.25138997442427,33816556.0
2016-08-01,104.41,106.15,104.41,106.05,38167871.0,0.0,1.0,98.18556304775686,99.82183236777504,98.18556304775686,99.72779390110732,38167871.0
2016-07-29,104.19,104.55,103.68,104.21,27733688.0,0.0,1.0,97.9786784210879,98.31721690109165,97.49908224108259,97.99748611442143,27733688.0
2016-07-28,102.83,104.45,102.82,104.34,39869839.0,0.0,1.0,96.69975527440704,98.22317843442396,96.69035142774025,98.11973612108947,39869839.0
2016-07-27,104.265,104.35,102.75,102.95,92344820.0,0.0,1.0,98.04920727108869,98.12913996775623,96.62452450107287,96.8126014344083,92344820.0
2016-07-26,96.82,97.97,96.42,96.67,56239822.0,0.0,1.0,91.04804342767761,92.12948579435628,90.67188956100678,90.90698572767604,56239822.0
2016-07-25,98.25,98.84,96.92,97.34,40382921.0,0.0,1.0,92.39279350102588,92.94762045436538,91.14208189434532,91.53704345434971,40382921.0
2016-07-22,99.26,99.3,98.31,98.66,28313669.0,0.0,1.0,93.34258201436977,93.38019740103684,92.4492165810265,92.7783512143635,28313669.0
2016-07-21,99.83,101.0,99.13,99.43,32702028.0,0.0,1.0,93.87860127437571,94.97885133438793,93.22033200770173,93.50244740770488,32702028.0
2016-07-20,100.0,100.46,99.735,99.96,26275968.0,0.0,1.0,94.03846666771082,94.47104361438228,93.78926473104138,94.00085128104372,26275968.0
2016-07-19,99.56,100.0,99.34,99.87,23779924.0,0.0,1.0,93.62469741437289,94.03846666771082,93.41781278770392,93.9162166610428,23779924.0
2016-07-18,98.7,100.13,98.6,99.83,36493867.0,0.0,1.0,92.81596660103058,94.16071667437883,92.72192813436286,93.87860127437571,36493867.0
2016-07-15,98.92,99.3,98.5,98.78,30136990.0,0.0,1.0,93.02285122769955,93.38019740103684,92.62788966769516,92.89119737436475,30136990.0
2016-07-14,97.39,98.99,97.32,98.79,38918997.0,0.0,1.0,91.58406268768357,93.08867815436693,91.51823576101616,92.90060122103152,38918997.0
2016-07-13,97.41,97.67,96.84,96.87,25892171.0,0.0,1.0,91.6028703810171,91.84737039435316,91.06685112101115,91.09506266101147,25892171.0
2016-07-12,97.17,97.7,97.12,97.42,24167463.0,0.0,1.0,91.3771780610146,91.87558193435348,91.33015882768075,91.61227422768388,24167463.0
2016-07-11,96.75,97.65,96.73,96.98,23794945.0,0.0,1.0,90.98221650101021,91.82856270101962,90.96340880767667,91.19850497434595,23794945.0
